Level Cap:::Title:::Release Date,Release Date,Level Cap:::Title
Score:::Publication,Publication,Score
Best performance:::Lost:::Tie:::NR:::Total:::Won:::Last Updated: 14 July 2019Source: ESPNcricinfo:::Latest:::Mat.:::Win%*:::First,First,Mat.:::Win%*
Year:::Teams,Teams,Year
9:::Rider:::Titles,Titles,9:::Rider
11:::12:::13:::2023 (10):::1:::2:::3:::4:::5:::6:::7:::8:::9:::10,10,8:::9
Details:::Record:::Seasons,Seasons,Details:::Record
Ref(s):::Title:::Cancellation date:::Developer(s),Developer(s),Title:::Cancellation date
Rider:::Age:::10,10,Rider:::Age
Moto2/250cc1:::CountryName:::Winning span1:::MotoGP/500cc1:::Moto2/250cc:::Moto3/125cc:::350cc1:::80cc/50cc:::RiderName,RiderName,350cc1:::80cc/50cc
5:::Runners-up:::6:::Winners:::Final:::Result,Result,Winners:::Final
Player:::Year:::Performance details,Performance details,Player:::Year
Player:::Year:::Performance details,Performance details,Player:::Year
Hungary:::Moto2/250cc:::350cc:::Moto3/125cc:::MotoGP/500cc:::80cc/50cc,80cc/50cc,Moto3/125cc:::MotoGP/500cc
2:::3:::Team,Team,2:::3
4W:::3.5W:::35W:::---,---,35W:::3.5W
Citing Patent:::Filing date:::Publication date:::Applicant:::Title,Applicant,Publication date:::Title
Party:::No. 1st Preference Votes:::% Votes:::Change % Votes from 2003:::No. Seats:::Change No. Seats from 2003,% Votes,No. 1st Preference Votes:::No. Seats
#:::Name:::Age:::Club:::LMSC:::Time,Name,Time:::Age
Country:::Currency:::Sub Currency,Sub Currency,Currency:::Country
